brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
Porsche,Macan S,2020,30014,3.0L V6 24V GDI DOHC Turbo,3,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,18,27,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,Black,Volcano Grey Metallic,52572
Chevrolet,Silverado 2500 LT,2020,31581,"Duramax 6.6L V-8 diesel direct injection, intercooled turbo, die",6.6,10-Speed Automatic,1,Diesel,Four-wheel Drive,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,Black,Shadow Gray Metallic,59498
Jeep,Wrangler Sport,2010,113974,3.8L V-6 engine with 202HP,3.8,Manual,0,Gasoline,Four-wheel Drive,19,27,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Dark Slate Grey/Med Slate Grey,Stone White Clearcoat,14970
Volkswagen,Touareg V6 Lux,2015,118560,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,30,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,Terracotta Brown,Black Oak Brown Metallic,17190
Audi,A5 2.0T Premium Plus,2018,23763,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,24,34,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,Nougat Brown / Black,Glacier White Metallic,32998
BMW,M8 Gran Coupe Gran Coupe,2021,21771,4.4L V8 32V GDI DOHC Twin Turbo,4.4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,15,21,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,Black,Blue,89850
Jeep,Grand Cherokee Limited,2023,1126,3.6L V6 24V MPFI DOHC,3.6,Automatic,1,Gasoline,Four-wheel Drive,15,20,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,Global Black,Velvet Red Pearlcoat,51646
Alfa,Romeo Stelvio Veloce,2023,1588,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,Black,Misano Blue Metallic,47887
Mercedes-Benz,SL-Class 600SL,1993,44716,6.0L V12 48V SPFI DOHC,6,4-Speed Automatic,1,Gasoline,Unknown,21,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,Black,White,17395
Mazda,Mazda3 Premium Plus,2022,14658,2.5L I4 16V,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,26,38,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,Black,Soul Red Crystal Metallic,31389
Jeep,Wrangler Unlimited Sport,2020,60797,3.6L V6 24V MPFI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,25,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,Black,Bright White Clearcoat,26900
Land,Rover Range Rover Velar R-Dynamic S,2021,16147,I4,,Automatic,1,Gasoline,Four-wheel Drive,20,27,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,Ebony,Santorini Black,61777
Alfa,Romeo Stelvio Ti Sport,2021,32266,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,31,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,Black,Vulcano Black Metallic,38570
Kia,Telluride LX,2020,47989,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,25,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,Black,Snow White Pearl,33978
Mitsubishi,Outlander SE,2016,132629,2.4L I4 16V MPFI SOHC,2.4,Automatic CVT,1,Gasoline,Four-wheel Drive,25,34,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,Black,Black,12490
Nissan,Frontier SV,2020,22561,"VQ 3.8L V-6 gasoline direct injection, DOHC, VVEL variable valve",3.8,Automatic,1,Gasoline,Rear-wheel Drive,29,39,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,Steel,Gun Metallic,29573
Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,48443,V6,,Automatic,1,Gasoline,Four-wheel Drive,17,24,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,Ebony,Corris Grey,58687
Toyota,4Runner SR5,2019,39378,4.0L V6 24V MPFI DOHC,4,5-Speed Automatic,1,Gasoline,Four-wheel Drive,17,20,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Black Graphite,Super White,37346
FIAT,500X Easy,2016,103522,2.4L I4 16V MPFI SOHC,2.4,9-Speed Automatic,1,Gasoline,Front-wheel Drive,22,31,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,Black,Brown,13998
Mazda,Mazda6 i Touring,2015,116772,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,,,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,Black,Snowflake White Pearl,13975
Volkswagen,Atlas 3.6 V6 SE w/ Technology R-Line,2021,49508,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,23,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,Titan Black,Pure White,39695
Alfa,Romeo Stelvio Ti Sport,2020,43513,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,Black,Vulcano Black Metallic,33697
Ford,Mustang Mach-E Select,2022,4065,Electric,,1-Speed Automatic,1,Electric,Rear-wheel Drive,,,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,Black Onyx,Ice Blue,40750
Ford,Taurus SEL,2011,146876,3.5L V6 24V MPFI DOHC,3.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,18,27,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,Charcoal Black,Tuxedo Black Metallic,8999
Maserati,Ghibli S Q4,2017,49160,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,23,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,Brown,White,39989
Land,Rover Range Rover Sport HSE,2013,64645,5.0L V8 32V GDI DOHC,5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,17,20,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,Ebony,Santorini Black,19795
Mazda,CX-30 2.5,2021,23141,2.5L I4 16V,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,Beige,Snowflake White Pearl,27503
Jaguar,XF 35t Premium,2018,45126,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,28,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,Ebony,Narvik Black,31550
Jeep,Wrangler Sport,2017,83968,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 285",3.6,Manual,0,Gasoline,Four-wheel Drive,15,20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,Black,Bright White Clearcoat,24950
Lexus,LX 600 Ultra Luxury,2022,1859,3.5L V6 24V PDI DOHC Twin Turbo,3.5,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,Black,MANGANESE LUSTER,129388
Cadillac,XT6 Sport AWD,2022,22057,3.6L V6 24V GDI DOHC,3.6,9-Speed Automatic,1,Gasoline,Four-wheel Drive,14,20,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,Black,Stellar Black Metallic,55962
FIAT,500 Abarth,2015,50886,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Front-wheel Drive,28,34,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Nero,Nero Puro,14546
Chevrolet,SSR Base,2005,24332,6.0L V8 16V MPFI OHV,6,4-Speed Automatic,1,Gasoline,Rear-wheel Drive,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Ebony,Aqua Blur Metallic,33500
Honda,Pilot Sport,2022,2777,3.5L V6 24V GDI SOHC,3.5,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,Gray,Platinum White Pearl,36700
Hyundai,Sonata Hybrid Limited,2020,23221,2.0L I4 16V GDI DOHC Hybrid,2,6-Speed Automatic,1,Hybrid,Front-wheel Drive,19,26,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,Black,Shimmering Silver Pearl,32255
Volkswagen,Atlas 3.6 V6 SE w/ Technology,2021,57184,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,Titan Black,Deep Black Pearl Effect,27495
Lexus,RC 350,2019,22629,3.5L V6 24V PDI DOHC,3.5,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,15,19,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,Black,Eminent White Pearl,39999
Nissan,Armada SV,2017,81814,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Four-wheel Drive,20,30,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,Charcoal,Super Black,24500
Maserati,Ghibli S Q4 GranLusso,2018,16887,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,14,20,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,,Brown,39500
Alfa,Romeo Giulia Ti,2018,32516,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,28,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,Black / Red,White Tri-Coat,26900
Volvo,XC90 T6 Momentum 6 Passenger,2022,15813,2.0L I4 16V GDI DOHC,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,33,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,Blond,Thunder Gray Metallic,52900
Lexus,RX 350 350,2017,49345,3.5L V6 24V MPFI DOHC,3.5,8-Speed Automatic,1,Gasoline,Front-wheel Drive,13,18,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,Parchment,Blue,28909
Nissan,370Z Touring,2016,15258,3.7L V6 24V MPFI DOHC,3.7,6-Speed Manual,0,Gasoline,Rear-wheel Drive,14,19,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,Gray,Gray,32995
Lexus,IS 350 F Sport,2022,24503,3.5L V6 24V PDI DOHC,3.5,Automatic,1,Gasoline,Rear-wheel Drive,28,31,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Tan,Silver,45990
Hyundai,Santa Fe Sport 2.4L,2017,62120,Regular Unleaded I-4 2.4 L/144,2.4,Automatic,1,Gasoline,Front-wheel Drive,27,33,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,Gray,Sparkling Silver,18409
BMW,X3 sDrive30i,2021,42511,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,25,29,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,Black,Dark Graphite Metallic,38999
MINI,Cooper Base,2011,94479,1.6L I4 16V MPFI DOHC,1.6,6-Speed Manual,0,Gasoline,Front-wheel Drive,23,32,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Black,Silver,9991
Nissan,Armada SV,2018,85781,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,Charcoal,Mocha Almond,24746
Volkswagen,New Beetle Sport,2002,59516,1.8L I4 20V MPFI DOHC Turbo,1.8,5-Speed Manual,0,Gasoline,Front-wheel Drive,30,40,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,Silver,7590
Jaguar,F-PACE 35t Premium,2017,73069,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,25,34,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,Jet,Polaris White,24422
Nissan,Pathfinder SL,2020,34844,3.5L V6 24V GDI DOHC,3.5,Automatic CVT,1,Gasoline,Four-wheel Drive,21,30,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,Charcoal,Scarlet Ember,31307
Cadillac,CT6-V Blackwing Twin,2020,14514,Turbocharged Gas V8 4.2L/,4.2,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,Jet Black,Crystal White Tricoat,99997
Volkswagen,GTI 2-Door,2010,108021,2.0L I4 16V GDI DOHC Turbo,2,6-Speed Manual,0,Gasoline,Front-wheel Drive,,,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Titan Black,Black,14995
FIAT,500 Pop,2015,74047,"MultiAir 1.4L I-4 variable valve control, engine with 101HP",1.4,Automatic,1,Gasoline,Front-wheel Drive,31,34,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,Charcoal,Nero Puro (Straight Black),12995
Jeep,Compass Latitude,2014,112819,2.4L I4 16V MPFI DOHC,2.4,6-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Dark Slate Gray,Bright White Clearcoat,9322
Jaguar,E-PACE Base,2019,21975,I4,,Automatic,1,Gasoline,Four-wheel Drive,19,30,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,Ebony,Narvik Black,25997
Chevrolet,Captiva Sport 2LS,2015,83850,"2.4L I-4 gasoline direct injection, DOHC, variable valve control",2.4,6-Speed Automatic,1,Gasoline,Front-wheel Drive,20,28,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Black,Silver Ice Metallic,12499
Nissan,Rogue Platinum,2022,13389,1.5L I3 12V GDI DOHC Turbo,1.5,Automatic CVT,1,Gasoline,Four-wheel Drive,27,39,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,Charcoal,Gun Metallic,36299
Hyundai,Kona SEL,2022,13216,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Four-wheel Drive,30,40,0,,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,Black,Lunar White,25257
Jaguar,E-PACE Base,2020,11952,2.0L I4 16V GDI DOHC Turbo,2,9-Speed Automatic,1,Gasoline,Four-wheel Drive,21,30,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,Lunar / Light Oyster,Yulong White,32600
Toyota,Avalon Hybrid Limited,2018,28018,2.5L I4 16V MPFI DOHC Hybrid,2.5,Automatic CVT,1,Hybrid,Front-wheel Drive,39,40,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,Gray,Maroon,29800
BMW,Z3 Roadster,1996,48371,1.9L I4 16V MPFI DOHC,1.9,5-Speed Manual,0,Gasoline,Unknown,23,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red,Silver,13499
Mitsubishi,Lancer ES,2005,114750,2L I-4 engine with 120HP,2,Manual,0,Gasoline,Front-wheel Drive,23,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tan,GREY,4499
Hyundai,IONIQ Plug-In Hybrid Limited,2019,26979,1.6L I4 16V GDI DOHC Hybrid,1.6,6-Speed Automatic with Auto-Shift,1,Hybrid,Front-wheel Drive,25,33,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,Charcoal Black,Ceramic White,21990
Mitsubishi,Eclipse Cross ES,2020,51238,1.5L I4 16V GDI DOHC Turbo,1.5,Automatic CVT,1,Gasoline,Front-wheel Drive,16,22,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,Black,Black,12944
Alfa,Romeo Stelvio Base,2021,40051,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,Black / Red,Anodized Blue Metallic,30549
Mazda,Mazda6 Sport,2018,27320,2.5L I4 16V GDI DOHC,2.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,,,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,Black,Machine Gray Metallic,19299
Nissan,Altima 2.5 SR,2021,30587,2.5L I4 16V GDI DOHC,2.5,Automatic CVT,1,Gasoline,Front-wheel Drive,14,19,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,Sport,Pearl White Tri-Coat,24499
Kia,Sorento Hybrid EX,2021,39149,1.6L I4 16V GDI DOHC Turbo Hybrid,1.6,6-Speed Automatic,1,Hybrid,Front-wheel Drive,,,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,Black,Platinum Graphite,35964
Jaguar,I-PACE EV400 SE,2020,14434,Electric,,Automatic,1,Gasoline,Four-wheel Drive,21,28,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,Light Oyster / Ebony,Firenze Red,59500
Alfa,Romeo Giulia Ti,2020,49340,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,Red / Black,Alfa White,28915
BMW,M340 i xDrive,2023,9341,3.0L I6 24V GDI DOHC Turbo,3,Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,Cognac,Black Sapphire Metallic,62000
Cadillac,CT5 Premium Luxury AWD,2020,30331,2.0L I4 16V GDI DOHC Turbo,2,10-Speed Automatic,1,Gasoline,Four-wheel Drive,23,33,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,Jet Black,Red,36991
BMW,M240 i xDrive,2022,8179,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,32,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,Black,Gray Metallic,60025
MINI,Convertible Cooper,2014,54115,1.6L I4 16V MPFI DOHC,1.6,6-Speed Manual,0,Gasoline,Front-wheel Drive,21,30,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Black,Green,16988
Alfa,Romeo Giulia Ti,2019,19371,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,Black,Alfa White,31362
Maserati,Levante GranSport,2021,58869,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,23,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,Nero,Grigio Maratea Metallescent,59990
Jeep,Grand Cherokee L Overland,2022,32845,3.6L V6 24V MPFI DOHC,3.6,Automatic,1,Gasoline,Rear-wheel Drive,16,21,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,Global Black,Bright White Clearcoat,60000
Cadillac,XT4 FWD Premium Luxury,2021,31896,Turbocharged Gas I4 2.0L/,2,Automatic,1,Gasoline,Front-wheel Drive,22,29,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,Light Platinum/Jet Black,Crystal White Tricoat,34995
BMW,328 i,2010,109500,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,3,6-Speed A/T,0,Gasoline,Rear-wheel Drive,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beige,White,9800
Cadillac,Escalade ESV Premium Luxury Platinum,2022,29992,3.0L I6 24V DDI DOHC Turbo Diesel,3,10-Speed Automatic,1,Diesel,Four-wheel Drive,23,33,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Whisper Beige,Satin Steel Metallic,104000
Jaguar,XF I4 T,2014,29850,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,22,27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,Barley / Charcoal,Ebony,24999
Lexus,ES 350 Base,2014,57219,3.5L V6 24V MPFI DOHC,3.5,6-Speed Automatic,1,Gasoline,Front-wheel Drive,19,26,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,Black,Nebula Gray Pearl,21999
Maserati,GranTurismo Base,2010,56227,4.2L V8 32V MPFI DOHC,4.2,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,16,22,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,Nero,Nero Black,28995
Cadillac,CT6-V Blackwing,2019,60600,"Blackwing 4.2L V-8 gasoline direct injection, DOHC, VVT variable",4.2,Automatic,1,Gasoline,Four-wheel Drive,15,23,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,Jet Black,Black Raven,59488
Alfa,Romeo Giulia Base,2021,8808,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,31,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,Red / Black,Alfa White,34450
Kia,Telluride SX,2022,17586,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1,Gasoline,Front-wheel Drive,21,28,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,Black,Gray,49500
Mercedes-Benz,E-Class E 350,2012,99099,3.5L V6 24V GDI DOHC,3.5,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,25,35,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,Natural Beige / Black,Diamond White Metallic,18999
Alfa,Romeo Stelvio Ti,2021,15476,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,29,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,Black,Rosso,37995
Volvo,XC60 T5 Momentum,2020,33440,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,,White,34596
Volkswagen,Tiguan 2.0T SE,2022,14866,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Front-wheel Drive,22,31,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,Black,Platinum Gray Metallic,30494
Mercedes-Benz,SL 450 Base,2020,7142,3.0L V6 24V GDI DOHC Twin Turbo,3,9-Speed Automatic,1,Gasoline,Rear-wheel Drive,19,28,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,Crystal Gray,Iridium Silver Metallic,73550
Cadillac,CT5-V V-Series,2022,6106,3.0L V6 24V GDI DOHC Twin Turbo,3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Jet Black,Rift Metallic,56000
Maserati,Levante GTS,2020,2004,3.8L V8 32V GDI DOHC Twin Turbo,3.8,8-Speed Automatic,1,Gasoline,Four-wheel Drive,15,21,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,Black,Grigio Maratea Metallescent,85800
Jaguar,XE R-Dynamic S,2020,26777,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,25,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,Ebony / Ebony,Eiger Grey,34992
Nissan,Titan SV,2019,117325,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,20,30,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,Black,Glacier White,28989
Mitsubishi,Outlander Sport 2.0 ES,2020,46186,2.0L I4 16V MPFI DOHC,2,Automatic CVT,1,Gasoline,Four-wheel Drive,25,31,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Black,Labrador Black Metallic,19999
MINI,Clubman Cooper S ALL4,2017,20340,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,33,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,Black,Midnight Black Metallic,23817
Maserati,GranTurismo Sport,2017,38981,4.7L V8 32V MPFI DOHC,4.7,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,16,24,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,Nero,Blu Inchiostro Metallic,53997
FIAT,500C Abarth,2014,98337,1.4L I4 16V MPFI SOHC Turbo,1.4,5-Speed Manual,0,Gasoline,Front-wheel Drive,28,34,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,Black,Granito,8900
Maserati,Ghibli Base,2016,40459,"3L V-6 gasoline direct injection, DOHC, variable valve control,",3,Automatic,1,Gasoline,Rear-wheel Drive,,,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,,,29990
Nissan,Pathfinder Platinum,2022,3538,3.5L V6 24V GDI DOHC,3.5,9-Speed Automatic,1,Gasoline,Four-wheel Drive,13,18,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,Chestnut,Gun Metallic,46899
Chevrolet,Trax LT,2015,100354,1.4L I4 16V MPFI DOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Front-wheel Drive,26,34,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,Jet Black,Black Granite Metallic,12646
